J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J123437+075843	2.5669999999999997	1.0201	-22.13	14.42	17.024655649968373	-1.429530059277241	87.9294	D	VLT	3	0	a2 j4 j6 j7 j8
J123437+075843	2.5669999999999997	1.7194	4.85	9.43	13.070095638517722	-1.429530059277241	87.9294	D	VLT	3	0	j1 j4 j5 j6 d1 d2 e2
J133335+164903	2.084	0.7446	-8.28	5.42	10.54888145729205	-1.7241323195264342	89.67	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7
J133335+164903	2.084	1.3253	49.62	106.07	106.45537750625846	-1.7241323195264342	89.67	D	VLT	3	0	a2 b1 j6 j8 c1
J133335+164903	2.084	1.7765	8.43	4.48	10.098163199315014	-1.7241323195264342	89.67	D	VLT	3	0	b1 b2 j1 j5 j6 c1 e1 e2 h1 h2 l2 k1 k2 k3 i1
J133335+164903	2.084	1.7863	-4.89	8.6	12.484490378065098	-1.7241323195264342	89.67	D	VLT	3	0	a2 b1 j6 c1 d1 d2 e1 e2
J134427-103541	2.134	1.9155	0.15	7.44	11.715634852623225	2.5366912153915213	63.5754	D	VLT	3	0	j1 j4 j5 j6 j7 j8 e1 e2
J134427-103541	2.134	2.1474	64.48	88.31	88.7725103846906	2.5366912153915213	63.5754	D	VLT	3	0	b1 b2 c1
J135038-251216	2.5340000000000003	1.4393	-9.87	5.68	10.68479761156008	4.461677399305177	49.9488	D	VLT	3	0	a1 b1 b2 j1 j3 j8 d1 d2 h2 h3 l1 l2 k2 k3 i1 i2 i3
J135038-251216	2.5340000000000003	1.7529	63.96	32.58	33.81359046300762	4.461677399305177	49.9488	D	VLT	3	0	b2 j6 j8 c1 d1 d2
J141217+091624	2.8560000000000003	1.4187	-29.19	17.71	19.888353375782522	0.051831845617603144	79.1144	D	VLT	3	0	b2 j4 j5 j7 j8
J141217+091624	2.8560000000000003	2.0188	8.49	7.55	11.78579653650953	0.051831845617603144	79.1144	D	VLT	3	0	j1 j3 j4 c1 d1 d2 e2 h1 h2 h3 k1 k2 k3
J141217+091624	2.8560000000000003	2.4564	-9.03	13.9	16.58651560756508	0.051831845617603144	79.1144	D	VLT	3	0	j1 j4 j7 e1
J141217+091624	2.8560000000000003	2.6682	1.99	8.49	12.408972560208198	0.051831845617603144	79.1144	D	VLT	3	0	j1 j5 j6 c1 e1
